Total images: 7049
Detected images: 6994
Not detected images: 55
Average accuracy: 98.99213611667143%
image_index,detected,accuracy
366,True,1.0
367,True,0.9666666666666667
368,True,1.0
369,True,1.0
370,True,1.0
371,True,0.9666666666666667
372,True,1.0
373,True,1.0
374,True,1.0
375,True,1.0
376,True,1.0
377,True,1.0
378,True,1.0
379,True,1.0
380,True,1.0
381,True,1.0
382,True,1.0
383,True,1.0
384,True,1.0
385,True,1.0
386,True,1.0
387,True,1.0
388,True,1.0
389,True,1.0
390,True,0.9666666666666667
391,True,1.0
392,True,1.0
393,True,1.0
394,True,1.0
395,True,1.0
396,True,1.0
397,True,1.0
398,True,1.0
399,True,1.0
400,True,1.0
401,True,1.0
402,True,1.0
403,True,1.0
404,True,1.0
405,True,0.9333333333333333
406,True,1.0
407,True,1.0
408,True,1.0
409,True,0.9666666666666667
410,True,1.0
411,True,1.0
412,True,1.0
413,True,0.9666666666666667
414,True,0.9666666666666667
415,True,1.0
416,True,1.0
417,True,1.0
418,True,1.0
419,True,1.0
420,True,1.0
421,True,1.0
422,True,1.0
423,True,1.0
424,True,1.0
425,True,1.0
426,True,1.0
427,True,1.0
428,True,1.0
429,True,1.0
430,True,1.0
431,True,0.9666666666666667
432,True,1.0
433,True,1.0
434,True,1.0
435,True,1.0
436,True,1.0
437,True,1.0
438,True,1.0
439,True,1.0
440,True,1.0
441,True,1.0
442,True,1.0
443,True,1.0
444,True,1.0
445,True,1.0
446,True,1.0
447,True,1.0
448,True,1.0
449,True,1.0
450,True,1.0
451,True,1.0
452,True,1.0
453,True,1.0
454,True,0.9666666666666667
455,True,1.0
456,True,1.0
457,True,1.0
458,True,1.0
459,True,1.0
460,True,1.0
461,True,0.9666666666666667
462,True,1.0
463,True,1.0
464,True,1.0
465,True,0.9666666666666667
466,True,1.0
467,True,1.0
468,True,1.0
469,True,1.0
470,True,1.0
471,True,1.0
472,True,1.0
473,True,1.0
474,True,1.0
475,True,1.0
476,True,1.0
477,True,1.0
478,True,0.9666666666666667
479,True,1.0
480,True,1.0
481,True,1.0
482,True,1.0
483,True,1.0
484,True,1.0
485,True,1.0
486,True,1.0
487,True,1.0
488,True,1.0
489,True,0.9666666666666667
490,True,0.9666666666666667
491,True,1.0
492,True,0.9666666666666667
493,True,1.0
494,True,1.0
495,True,1.0
496,True,1.0
497,True,0.9333333333333333
498,True,1.0
499,True,1.0
500,True,1.0
501,True,1.0
502,True,1.0
503,True,1.0
504,True,1.0
505,True,1.0
506,True,1.0
507,True,1.0
508,True,1.0
509,True,1.0
510,True,1.0
511,True,1.0
512,True,1.0
513,True,0.9666666666666667
514,True,0.9666666666666667
515,True,1.0
516,True,0.9666666666666667
517,True,0.9666666666666667
518,True,1.0
519,True,0.9666666666666667
520,True,1.0
521,True,0.9666666666666667
522,True,1.0
523,True,1.0
524,True,1.0
525,True,0.9666666666666667
526,True,1.0
527,True,1.0
528,True,1.0
529,True,1.0
530,True,1.0
531,True,1.0
532,True,1.0
533,True,1.0
534,True,1.0
535,True,1.0
536,True,1.0
